GeneID	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	PD_1	PD_2	PD_3	PD_4	PD_5	PD_6	PD_7	PD_8
5_8S_rRNA	3.965147489	0	0	6.313183977	0	43.74907117	1.560808482	15.86972361	0	12.66573836	0	1.304484624	0.790231777	0
5S_rRNA	6.514170875	0	0	0	4.187972544	0	0.780404241	0	0	0	1.861933456	0	0	0
A1BG	0.283224821	0	5.205391731	0	0	0	0	0	0	0	0.930966728	0	0	3.35821594
A1BG-AS1	0	8.386936469	2.602695865	0	0	0	7.02363817	0	0	0	3.103222427	0	0	0
A1CF	0	0	0	0	0	0	7.02363817	0	15.90103531	0	0	0	6.321854217	12.31345845
A2M	51.54691736	96.44976939	183.9238412	197.1116331	289.8077	159.0875315	119.4018489	81.61572143	18.55120786	92.27895093	123.5082526	160.4516088	126.4370843	101.8658835
A2M-AS1	5.664496413	5.241835293	0	0	0	0	5.462829688	27.20524048	0	5.428173584	4.344511398	2.608969249	0	0
A2ML1	4.24837231	11.53203764	5.205391731	2.104394659	0	0	0	0	47.70310592	3.618782389	9.619989525	1.956726937	0	15.67167439
A4GALT	2.549023386	2.096734117	5.205391731	0.701464886	0	0	3.902021206	0	0	1.809391195	4.034189156	2.608969249	0	0
AAAS	0	13.62877176	6.072957019	9.820508408	15.07670116	7.954376576	8.584446653	0	0	0	8.378700554	2.608969249	27.6581122	16.7910797
AACS	17.27671406	12.5804047	0	6.313183977	12.56391763	0	7.804042411	20.40393036	0	0	11.79224522	24.78520787	30.02880753	0
AADAT	0	0	1.735130577	7.71611375	0	0	0	13.60262024	0	0	2.482577942	6.522423122	3.160927109	0
AAGAB	12.46189211	18.87060706	0	5.611719091	19.2646737	41.76047702	35.11819085	0	0	3.618782389	9.309667282	7.174665435	20.54602621	3.35821594
AAK1	171.3510165	156.2066917	77.21331067	96.80215431	148.2542281	85.50954819	166.2261034	72.54730794	76.85500398	128.4667748	121.3359969	175.453182	147.7733423	87.31361443
AAMDC	0.283224821	0	1.735130577	0	0	0	0	0	0	0	4.654833641	3.261211561	0	8.955242506
AAMP	12.46189211	5.241835293	4.337826442	4.208789318	7.538350579	27.84031802	10.92565938	6.801310119	29.15189806	30.75965031	4.654833641	3.913453873	14.22417199	14.55226907
AAR2	3.115473027	0	6.940522308	2.104394659	18.42707919	0	0	0	31.80207061	14.47512956	9.619989525	14.34933087	3.160927109	30.22394346
AARS1	24.92378422	32.49937882	37.3053074	36.47617409	29.31580781	57.66923018	79.6012326	97.48544504	37.10241572	54.28173584	46.23801417	77.61683516	59.26738328	63.80610285
AARS2	0	0	0	1.402929773	0	23.86312973	0	15.86972361	21.20138041	0	1.861933456	7.826907747	7.112085994	0
AASDH	7.080620516	0	14.7486099	8.417578636	11.72632312	13.92015901	11.70606362	22.67103373	23.85155296	0	4.344511398	13.69708856	13.43394021	17.91048501
AASDHPPT	27.4728076	12.5804047	15.61617519	11.22343818	30.99099683	15.90875315	27.31414844	56.67758433	0	16.28452075	13.34385644	19.56726937	12.64370843	15.67167439
AASS	50.6972429	19.91897411	62.46470077	69.44502375	35.17896937	27.84031802	21.85131875	9.068413492	7.950517653	66.9474742	23.27416821	35.87332717	9.482781326	16.7910797
AATK	133.9653402	71.28895999	115.3861834	96.80215431	56.11883209	174.9962847	156.8612525	47.60917083	188.1622511	106.7540805	62.99541528	40.43902336	66.37946928	61.56729223
ABAT	95.72998938	120.5622117	94.56461644	103.1153383	174.2196578	69.60079504	96.7701259	70.28020456	42.40276082	92.27895093	102.0960179	91.96616603	91.66688615	90.67183037
ABCA1	44.46629684	46.12815058	90.22679	42.08789318	35.17896937	43.74907117	47.60465871	34.0065506	45.05293337	43.42538867	49.3412366	51.52714267	74.28178705	40.29859128
ABCA10	8.213519799	1.048367059	19.08643635	0	22.61505174	15.90875315	2.341212723	0	2.650172551	0	3.723866913	13.04484624	9.482781326	10.07464782
ABCA11P	2.549023386	0	0	2.104394659	0	0	0	0	0	14.47512956	6.206444855	0	0	0
ABCA13	1.982573745	0	0	0	4.187972544	0	7.804042411	18.13682698	7.950517653	0	1.551611214	2.608969249	4.741390663	4.477621253
ABCA17P	1.699348924	0	0	0	0.837594509	0	0	0	0	0	1.861933456	7.174665435	0	0
ABCA2	405.0114935	297.7362446	405.1529897	288.3020683	247.9279746	477.2625946	223.195613	306.0589554	490.281922	448.7290163	337.9409224	247.8520787	93.2473497	269.7766805
